"Date","Open","High","Low","Close"
"Dec 11, 2019","$931.15","$943.05","$931.15","$943.05"
"Dec 10, 2019","$926.11","$926.11","$925.47","$925.47"
"Dec 09, 2019","$898.02","$898.55","$898.02","$898.55"
"Dec 06, 2019","$899.38","$899.51","$899.38","$899.51"
"Dec 05, 2019","$901.28","$902.49","$899.63","$900.53"
"Oct 30, 2019","$924.78","$928.61","$924.78","$928.61"
"Oct 29, 2019","$917.44","$924.64","$917.44","$924.64"
"Oct 28, 2019","$932.49","$934.21","$922.33","$922.33"
"Oct 25, 2019","$928.78","$932.21","$928.78","$932.21"
"Oct 24, 2019","$925.35","$926.02","$925.35","$925.75"
"Oct 22, 2019","$895.02","$895.02","$895.02","$895.02"
"Oct 21, 2019","$891.55","$891.55","$891.55","$891.55"
"Oct 18, 2019","$893.06","$894.54","$893.06","$894.54"
"Oct 17, 2019","$889.09","$890.50","$889.09","$890.50"
"Oct 16, 2019","$890.10","$890.10","$887.55","$888.26"
"Oct 15, 2019","$893.71","$893.71","$888.56","$888.56"
"Oct 14, 2019","$898.74","$898.74","$896.38","$897.12"
"Oct 11, 2019","$907.40","$908.68","$901.59","$901.59"
"Oct 10, 2019","$895.01","$901.53","$895.01","$901.53"
"Oct 09, 2019","$897.00","$897.00","$895.68","$895.68"
"Oct 08, 2019","$886.04","$897.38","$885.80","$894.30"
"Oct 07, 2019","$881.83","$882.58","$881.54","$881.54"
"Oct 04, 2019","$883.85","$887.20","$883.85","$887.20"
"Oct 03, 2019","$892.51","$896.72","$891.62","$891.62"
"Oct 02, 2019","$877.30","$891.34","$877.30","$891.31"
"Oct 01, 2019","$880.92","$880.92","$880.92","$880.92"
"Sep 30, 2019","$886.94","$886.94","$886.94","$886.94"
"Sep 27, 2019","$937.78","$937.78","$936.50","$936.50"
"Sep 25, 2019","$931.11","$931.11","$931.11","$931.11"
"Sep 24, 2019","$956.83","$957.65","$956.36","$956.86"
"Sep 20, 2019","$946.81","$952.65","$946.65","$952.65"
"Sep 19, 2019","$930.94","$942.04","$930.94","$942.04"
"Sep 18, 2019","$945.09","$945.09","$931.91","$931.91"
"Sep 17, 2019","$944.82","$945.14","$944.82","$945.14"
"Sep 16, 2019","$956.12","$963.34","$939.58","$939.76"
"Sep 13, 2019","$958.39","$966.71","$952.54","$952.54"
"Sep 12, 2019","$953.43","$954.59","$953.43","$953.86"
"Sep 11, 2019","$945.32","$947.50","$944.24","$947.50"
"Sep 10, 2019","$945.91","$945.91","$933.92","$934.30"
"Sep 09, 2019","$950.70","$950.70","$950.70","$950.70"
"Sep 06, 2019","$954.75","$954.75","$954.75","$954.75"
"Sep 05, 2019","$988.99","$988.99","$962.92","$964.38"
"Sep 04, 2019","$969.15","$989.83","$969.15","$989.83"
"Sep 03, 2019","$939.08","$962.14","$937.67","$962.14"
"Sep 02, 2019","$936.42","$936.42","$936.42","$936.42"
"Aug 30, 2019","$939.65","$939.65","$939.65","$939.65"
"Aug 29, 2019","$916.60","$919.99","$916.60","$919.99"
"Aug 28, 2019","$904.49","$905.36","$904.49","$905.36"
"Aug 27, 2019","$868.33","$870.02","$868.33","$870.02"
"Aug 26, 2019","$859.83","$859.83","$859.73","$859.73"
"Aug 23, 2019","$862.79","$863.71","$862.79","$863.71"
"Aug 22, 2019","$854.55","$861.65","$851.73","$861.65"
"Aug 21, 2019","$856.22","$856.88","$856.22","$856.88"
"Aug 20, 2019","$854.19","$856.01","$852.70","$852.70"
"Aug 19, 2019","$854.56","$855.04","$853.17","$853.17"
"Aug 16, 2019","$853.01","$853.01","$853.01","$853.01"
"Aug 15, 2019","$847.69","$847.69","$845.05","$845.19"
"Aug 14, 2019","$847.95","$848.68","$847.95","$848.68"
"Aug 13, 2019","$865.91","$868.02","$858.97","$858.97"
"Aug 12, 2019","$861.38","$861.38","$861.38","$861.38"
"Aug 09, 2019","$864.03","$864.03","$864.03","$864.03"
"Aug 08, 2019","$863.22","$868.51","$861.09","$868.51"
"Aug 07, 2019","$856.54","$872.55","$851.16","$867.44"
"Aug 06, 2019","$856.03","$856.03","$852.20","$854.60"
"Aug 05, 2019","$858.89","$859.01","$858.89","$859.01"
"Aug 02, 2019","$852.04","$852.04","$849.77","$849.77"
"Aug 01, 2019","$855.29","$857.73","$853.66","$856.80"
"Jul 31, 2019","$867.81","$868.84","$865.95","$868.84"
"Jul 30, 2019","$885.23","$885.23","$874.56","$874.70"
"Jul 29, 2019","$870.82","$883.82","$870.82","$883.82"
"Jul 26, 2019","$870.75","$871.39","$867.92","$871.39"
"Jul 25, 2019","$883.79","$883.79","$869.21","$869.21"
"Jul 24, 2019","$863.90","$880.07","$863.90","$880.07"
"Jul 23, 2019","$850.97","$859.77","$850.97","$857.66"
"Jul 22, 2019","$852.42","$852.42","$849.19","$849.39"
"Jul 19, 2019","$848.95","$851.85","$848.95","$851.85"
"Jul 17, 2019","$842.03","$847.74","$842.03","$845.29"
"Jul 16, 2019","$844.84","$844.84","$839.47","$841.64"
"Jul 15, 2019","$839.26","$846.76","$839.26","$846.76"
"Jul 12, 2019","$828.57","$834.79","$826.02","$834.33"
"Jul 11, 2019","$829.32","$829.32","$823.67","$826.62"
"Jul 10, 2019","$811.30","$829.59","$811.30","$829.59"
"Jul 09, 2019","$813.82","$815.51","$809.63","$813.54"
"Jul 08, 2019","$815.03","$820.76","$813.78","$815.97"
"Jul 05, 2019","$838.62","$838.62","$794.43","$813.46"
"Jul 04, 2019","$845.44","$845.44","$839.53","$839.53"
"Jul 03, 2019","$837.28","$846.24","$837.28","$846.24"
"Jul 02, 2019","$841.15","$841.15","$830.42","$831.66"
"Jul 01, 2019","$832.39","$835.46","$832.39","$835.37"
"Jun 28, 2019","$819.54","$838.25","$819.54","$838.25"
"Jun 27, 2019","$810.92","$815.16","$810.80","$815.16"
"Jun 26, 2019","$804.05","$817.75","$804.05","$813.75"
"Jun 25, 2019","$811.74","$811.74","$808.16","$808.16"
"Jun 24, 2019","$811.21","$814.36","$811.21","$813.66"
"Jun 21, 2019","$806.46","$811.90","$805.92","$811.90"
"Jun 20, 2019","$814.62","$817.52","$806.28","$806.28"
"Jun 19, 2019","$802.19","$813.66","$802.19","$813.66"
"Jun 18, 2019","$800.68","$803.07","$797.98","$803.07"
"Jun 17, 2019","$796.02","$796.16","$796.02","$796.16"
"Jun 14, 2019","$813.36","$817.60","$805.48","$805.48"
"Jun 13, 2019","$811.89","$813.05","$804.35","$810.01"
"Jun 12, 2019","$816.20","$818.63","$807.04","$809.37"
"Jun 11, 2019","$801.45","$816.00","$800.58","$813.56"
"Jun 10, 2019","$801.50","$807.50","$796.50","$807.00"
"Jun 07, 2019","$802.01","$810.16","$799.20","$805.23"
"Jun 06, 2019","$806.25","$807.50","$798.42","$801.50"
"Jun 05, 2019","$823.20","$831.00","$800.50","$803.50"
"Jun 04, 2019","$820.81","$823.50","$815.54","$818.25"
"Jun 03, 2019","$797.45","$825.00","$797.45","$824.50"
"May 31, 2019","$791.38","$795.00","$788.61","$794.50"
"May 30, 2019","$793.73","$798.00","$788.39","$791.50"
"May 29, 2019","$798.76","$798.76","$791.50","$792.25"
"May 28, 2019","$809.85","$810.38","$795.78","$803.00"
"May 27, 2019","$802.60","$808.02","$801.00","$807.02"
"May 24, 2019","$802.50","$806.90","$797.80","$805.00"
"May 23, 2019","$799.29","$802.49","$794.00","$798.50"
"May 22, 2019","$809.25","$810.10","$799.99","$799.99"
"May 21, 2019","$812.38","$817.00","$805.20","$814.50"
"May 20, 2019","$820.90","$822.70","$810.01","$814.00"
"May 17, 2019","$827.80","$827.80","$816.35","$817.10"
"May 16, 2019","$844.58","$848.54","$828.40","$829.70"
"May 15, 2019","$852.71","$853.42","$841.00","$843.50"
"May 14, 2019","$858.25","$863.60","$851.90","$856.50"
"May 13, 2019","$849.79","$861.65","$848.80","$858.50"
"May 10, 2019","$856.73","$866.00","$851.27","$864.00"
"May 09, 2019","$859.08","$859.43","$845.50","$849.50"
"May 08, 2019","$872.10","$874.40","$858.50","$860.50"
"May 07, 2019","$880.29","$881.98","$866.00","$868.50"
"May 06, 2019","$858.50","$879.00","$856.50","$879.00"
"May 03, 2019","$851.40","$872.00","$846.78","$869.50"
"May 02, 2019","$861.65","$864.95","$846.61","$848.50"
"May 01, 2019","$878.70","$882.61","$863.00","$866.50"
"Apr 30, 2019","$895.06","$899.00","$884.00","$885.50"
"Apr 29, 2019","$895.50","$898.66","$887.00","$896.00"
"Apr 26, 2019","$889.66","$900.50","$883.66","$897.50"
"Apr 25, 2019","$886.09","$890.01","$876.52","$888.50"
"Apr 24, 2019","$884.65","$892.00","$880.99","$881.34"
"Apr 23, 2019","$895.26","$896.55","$879.93","$886.78"
"Apr 22, 2019","$905.05","$909.82","$891.50","$898.25"
"Apr 19, 2019","$908.00","$908.00","$908.00","$908.00"
"Apr 18, 2019","$884.10","$908.00","$882.60","$908.00"
"Apr 17, 2019","$883.30","$889.50","$881.79","$887.06"
"Apr 16, 2019","$889.04","$890.28","$876.49","$879.50"
"Apr 15, 2019","$883.15","$901.15","$878.10","$885.05"
"Apr 12, 2019","$892.28","$901.33","$889.00","$889.00"
"Apr 11, 2019","$907.66","$907.66","$887.00","$891.32"
"Apr 10, 2019","$890.15","$905.15","$887.21","$901.80"
"Apr 09, 2019","$900.10","$904.00","$885.00","$885.00"
"Apr 08, 2019","$908.50","$913.14","$904.34","$905.22"
"Apr 05, 2019","$894.51","$905.65","$891.55","$898.00"
"Apr 04, 2019","$880.41","$916.86","$876.70","$893.50"
"Apr 03, 2019","$857.83","$877.78","$855.43","$875.05"
"Apr 02, 2019","$846.38","$859.56","$842.43","$859.36"
"Apr 01, 2019","$846.96","$855.65","$841.76","$847.43"
"Mar 28, 2019","$858.00","$862.15","$832.45","$838.50"
"Mar 27, 2019","$859.83","$867.66","$850.00","$858.55"
"Mar 26, 2019","$850.10","$860.13","$846.50","$859.73"
"Mar 25, 2019","$846.53","$860.50","$846.53","$851.00"
"Mar 21, 2019","$868.51","$873.20","$850.50","$858.40"
"Mar 20, 2019","$854.60","$869.85","$852.00","$867.14"
"Mar 19, 2019","$837.00","$856.88","$832.57","$855.95"
"Mar 18, 2019","$828.50","$839.24","$828.00","$838.50"
"Mar 14, 2019","$829.84","$834.00","$820.36","$828.92"
"Mar 13, 2019","$833.60","$868.26","$829.00","$830.14"
"Mar 12, 2019","$821.50","$838.00","$821.50","$833.02"
"Mar 11, 2019","$813.40","$824.37","$807.50","$822.37"
"Mar 07, 2019","$823.37","$826.67","$810.38","$815.84"
"Mar 06, 2019","$830.84","$831.24","$821.96","$823.37"
"Mar 05, 2019","$837.00","$839.23","$828.40","$830.90"
"Mar 04, 2019","$850.90","$850.90","$833.21","$834.50"
"Feb 28, 2019","$867.00","$875.50","$866.00","$868.06"
"Feb 27, 2019","$861.36","$873.50","$858.00","$867.14"
"Feb 26, 2019","$853.00","$865.00","$846.00","$862.25"
"Feb 25, 2019","$848.50","$860.50","$845.71","$857.00"
"Feb 20, 2019","$819.52","$832.50","$819.40","$821.77"
"Feb 19, 2019","$806.52","$825.00","$806.39","$820.02"
"Feb 18, 2019","$802.58","$811.02","$802.58","$807.63"
"Feb 14, 2019","$786.00","$788.50","$777.50","$784.06"
"Feb 13, 2019","$787.50","$794.50","$784.00","$785.50"
"Feb 12, 2019","$788.70","$793.50","$782.65","$788.00"
"Feb 11, 2019","$790.74","$794.50","$783.00","$788.43"
"Feb 07, 2019","$801.81","$805.94","$792.00","$793.00"
"Feb 06, 2019","$816.00","$820.00","$802.00","$802.55"
"Feb 05, 2019","$819.00","$823.09","$813.00","$814.91"
"Feb 04, 2019","$820.00","$823.50","$812.50","$819.39"
"Jan 31, 2019","$818.50","$825.50","$815.40","$819.80"
"Jan 30, 2019","$814.00","$821.00","$811.00","$816.78"
"Jan 29, 2019","$813.88","$819.00","$810.31","$815.70"
"Jan 28, 2019","$816.00","$816.00","$807.50","$814.15"
"Jan 24, 2019","$794.00","$805.50","$789.50","$803.13"
"Jan 23, 2019","$789.91","$796.00","$787.50","$793.00"
"Jan 22, 2019","$791.50","$795.50","$785.50","$790.00"
"Jan 21, 2019","$798.50","$800.00","$787.00","$791.00"
"Jan 17, 2019","$800.50","$815.00","$799.50","$812.00"
"Jan 16, 2019","$801.00","$811.00","$797.00","$800.50"
"Jan 15, 2019","$802.50","$805.00","$794.50","$799.00"
"Jan 14, 2019","$802.25","$807.10","$798.00","$805.50"
"Jan 10, 2019","$823.35","$827.00","$817.50","$821.85"
"Jan 09, 2019","$822.25","$826.50","$817.25","$822.95"
"Jan 08, 2019","$818.98","$824.00","$813.00","$822.30"
"Jan 07, 2019","$826.10","$829.65","$817.50","$819.05"
"Jan 03, 2019","$794.85","$804.50","$788.90","$802.00"
"Jan 02, 2019","$793.00","$800.00","$782.00","$793.65"
"Jan 01, 2019","$794.50","$797.00","$789.50","$794.00"
"Dec 31, 2018","$793.45","$797.50","$785.25","$794.50"
"Dec 27, 2018","$797.40","$799.50","$784.00","$798.50"
"Dec 26, 2018","$791.25","$801.50","$790.05","$797.25"
"Dec 25, 2018","$785.50","$791.45","$785.00","$791.20"
"Dec 24, 2018","$790.35","$794.80","$783.65","$785.50"
"Dec 20, 2018","$787.50","$797.00","$786.40","$795.00"
"Dec 19, 2018","$789.75","$796.70","$782.80","$788.65"
"Dec 18, 2018","$789.80","$794.30","$785.00","$791.50"
"Dec 17, 2018","$784.98","$798.00","$781.75","$789.50"
"Dec 13, 2018","$805.60","$805.60","$789.35","$792.45"